# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: hello.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             517   N   000002a0   fec59ce3   000002a2   x11_a1     004800ec
             518   N   000002a2   aa018613   0000029a   ---        --------
             521   N   0000029a   0000c194   0000029c   x13_a3     c60300df
             523   N   0000029c   00000511   0000029e   ---        --------
             524   N   0000029e   00000591   000002a0   x10_a0     000004d0
             525   N   000002a0   fec59ce3   000002a2   x11_a1     004800f0
             526   N   000002a2   aa018613   0000029a   ---        --------
             529   N   0000029a   0000c194   0000029c   x13_a3     8023ffa7
             531   N   0000029c   00000511   0000029e   ---        --------
             532   N   0000029e   00000591   000002a0   x10_a0     000004d4
             533   N   000002a0   fec59ce3   000002a2   x11_a1     004800f4
             534   N   000002a2   aa018613   0000029a   ---        --------
             537   N   0000029a   0000c194   0000029c   x13_a3     c70300cf
             539   N   0000029c   00000511   0000029e   ---        --------
             540   N   0000029e   00000591   000002a0   x10_a0     000004d8
             541   N   000002a0   fec59ce3   000002a2   x11_a1     004800f8
             542   N   000002a2   aa018613   0000029a   ---        --------
             545   N   0000029a   0000c194   0000029c   x13_a3     8023ffb7
             547   N   0000029c   00000511   0000029e   ---        --------
             548   N   0000029e   00000591   000002a0   x10_a0     000004dc
             549   N   000002a0   fec59ce3   000002a2   x11_a1     004800fc
             550   N   000002a2   aa018613   0000029a   ---        --------
             553   N   0000029a   0000c194   0000029c   x13_a3     c28300ef
             555   N   0000029c   00000511   0000029e   ---        --------
             556   N   0000029e   00000591   000002a0   x10_a0     000004e0
             557   N   000002a0   fec59ce3   000002a2   x11_a1     00480100
             558   N   000002a2   aa018613   0000029a   ---        --------
             561   N   0000029a   0000c194   0000029c   x13_a3     8023ffc7
             563   N   0000029c   00000511   0000029e   ---        --------
             564   N   0000029e   00000591   000002a0   x10_a0     000004e4
             565   N   000002a0   fec59ce3   000002a2   x11_a1     00480104
             566   N   000002a2   aa018613   0000029a   ---        --------
             569   N   0000029a   0000c194   0000029c   x13_a3     c303005f
             571   N   0000029c   00000511   0000029e   ---        --------
             572   N   0000029e   00000591   000002a0   x10_a0     000004e8
             573   N   000002a0   fec59ce3   000002a2   x11_a1     00480108
             574   N   000002a2   aa018613   0000029a   ---        --------
             577   N   0000029a   0000c194   0000029c   x13_a3     8023ffd7
             579   N   0000029c   00000511   0000029e   ---        --------
             580   N   0000029e   00000591   000002a0   x10_a0     000004ec
             581   N   000002a0   fec59ce3   000002a2   x11_a1     0048010c
