# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: hello.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             288   N   0000029c   00000511   0000029e   ---        --------
             289   N   0000029e   00000591   000002a0   x10_a0     0000044c
             290   N   000002a0   fec59ce3   000002a2   x11_a1     0048006c
             291   N   000002a2   05918613   0000029a   ---        --------
             295   N   0000029a   0000c194   0000029c   x13_a3     489104a2
             297   N   0000029c   00000511   0000029e   ---        --------
             298   N   0000029e   00000591   000002a0   x10_a0     00000450
             299   N   000002a0   fec59ce3   000002a2   x11_a1     00480070
             300   N   000002a2   05918613   0000029a   ---        --------
             304   N   0000029a   0000c194   0000029c   x13_a3     03128863
             306   N   0000029c   00000511   0000029e   ---        --------
             307   N   0000029e   00000591   000002a0   x10_a0     00000454
             308   N   000002a0   fec59ce3   000002a2   x11_a1     00480074
             309   N   000002a2   05918613   0000029a   ---        --------
             313   N   0000029a   0000c194   0000029c   x13_a3     80634e95
             315   N   0000029c   00000511   0000029e   ---        --------
             316   N   0000029e   00000591   000002a0   x10_a0     00000458
             317   N   000002a0   fec59ce3   000002a2   x11_a1     00480078
             318   N   000002a2   05918613   0000029a   ---        --------
             322   N   0000029a   0000c194   0000029c   x13_a3     4f1903d2
             324   N   0000029c   00000511   0000029e   ---        --------
             325   N   0000029e   00000591   000002a0   x10_a0     0000045c
             326   N   000002a0   fec59ce3   000002a2   x11_a1     0048007c
             327   N   000002a2   05918613   0000029a   ---        --------
             331   N   0000029a   0000c194   0000029c   x13_a3     01e28863
             333   N   0000029c   00000511   0000029e   ---        --------
             334   N   0000029e   00000591   000002a0   x10_a0     00000460
             335   N   000002a0   fec59ce3   000002a2   x11_a1     00480080
             336   N   000002a2   05918613   0000029a   ---        --------
             340   N   0000029a   0000c194   0000029c   x13_a3     001e4683
             342   N   0000029c   00000511   0000029e   ---        --------
             343   N   0000029e   00000591   000002a0   x10_a0     00000464
             344   N   000002a0   fec59ce3   000002a2   x11_a1     00480084
             345   N   000002a2   05918613   0000029a   ---        --------
             349   N   0000029a   0000c194   0000029c   x13_a3     002e0793
             351   N   0000029c   00000511   0000029e   ---        --------
             352   N   0000029e   00000591   000002a0   x10_a0     00000468
             353   N   000002a0   fec59ce3   000002a2   x11_a1     00480088
             354   N   000002a2   05918613   0000029a   ---        --------
             358   N   0000029a   0000c194   0000029c   x13_a3     00df8023
             360   N   0000029c   00000511   0000029e   ---        --------
             361   N   0000029e   00000591   000002a0   x10_a0     0000046c
             362   N   000002a0   fec59ce3   000002a2   x11_a1     0048008c
             363   N   000002a2   05918613   0000029a   ---        --------
             367   N   0000029a   0000c194   0000029c   x13_a3     0007c603
             369   N   0000029c   00000511   0000029e   ---        --------
             370   N   0000029e   00000591   000002a0   x10_a0     00000470
             371   N   000002a0   fec59ce3   000002a2   x11_a1     00480090
             372   N   000002a2   05918613   0000029a   ---        --------
             376   N   0000029a   0000c194   0000029c   x13_a3     80230785
             378   N   0000029c   00000511   0000029e   ---        --------
             379   N   0000029e   00000591   000002a0   x10_a0     00000474
             380   N   000002a0   fec59ce3   000002a2   x11_a1     00480094
             381   N   000002a2   05918613   0000029a   ---        --------
             385   N   0000029a   0000c194   0000029c   x13_a3     c70300cf
             387   N   0000029c   00000511   0000029e   ---        --------
             388   N   0000029e   00000591   000002a0   x10_a0     00000478
             389   N   000002a0   fec59ce3   000002a2   x11_a1     00480098
             390   N   000002a2   05918613   0000029a   ---        --------
             394   N   0000029a   0000c194   0000029c   x13_a3     07850007
             396   N   0000029c   00000511   0000029e   ---        --------
             397   N   0000029e   00000591   000002a0   x10_a0     0000047c
             398   N   000002a0   fec59ce3   000002a2   x11_a1     0048009c
             399   N   000002a2   05918613   0000029a   ---        --------
             403   N   0000029a   0000c194   0000029c   x13_a3     00ef8023
             405   N   0000029c   00000511   0000029e   ---        --------
             406   N   0000029e   00000591   000002a0   x10_a0     00000480
             407   N   000002a0   fec59ce3   000002a2   x11_a1     004800a0
             408   N   000002a2   05918613   0000029a   ---        --------
             412   N   0000029a   0000c194   0000029c   x13_a3     0007c283
             414   N   0000029c   00000511   0000029e   ---        --------
             415   N   0000029e   00000591   000002a0   x10_a0     00000484
             416   N   000002a0   fec59ce3   000002a2   x11_a1     004800a4
             417   N   000002a2   05918613   0000029a   ---        --------
             421   N   0000029a   0000c194   0000029c   x13_a3     80230785
             423   N   0000029c   00000511   0000029e   ---        --------
             424   N   0000029e   00000591   000002a0   x10_a0     00000488
             425   N   000002a0   fec59ce3   000002a2   x11_a1     004800a8
             426   N   000002a2   05918613   0000029a   ---        --------
             430   N   0000029a   0000c194   0000029c   x13_a3     c303005f
             432   N   0000029c   00000511   0000029e   ---        --------
             433   N   0000029e   00000591   000002a0   x10_a0     0000048c
             434   N   000002a0   fec59ce3   000002a2   x11_a1     004800ac
             435   N   000002a2   05918613   0000029a   ---        --------
             439   N   0000029a   0000c194   0000029c   x13_a3     07850007
             441   N   0000029c   00000511   0000029e   ---        --------
             442   N   0000029e   00000591   000002a0   x10_a0     00000490
             443   N   000002a0   fec59ce3   000002a2   x11_a1     004800b0
             444   N   000002a2   05918613   0000029a   ---        --------
             448   N   0000029a   0000c194   0000029c   x13_a3     006f8023
             450   N   0000029c   00000511   0000029e   ---        --------
             451   N   0000029e   00000591   000002a0   x10_a0     00000494
             452   N   000002a0   fec59ce3   000002a2   x11_a1     004800b4
             453   N   000002a2   05918613   0000029a   ---        --------
             457   N   0000029a   0000c194   0000029c   x13_a3     0007c383
             459   N   0000029c   00000511   0000029e   ---        --------
             460   N   0000029e   00000591   000002a0   x10_a0     00000498
             461   N   000002a0   fec59ce3   000002a2   x11_a1     004800b8
             462   N   000002a2   05918613   0000029a   ---        --------
             466   N   0000029a   0000c194   0000029c   x13_a3     80230785
             468   N   0000029c   00000511   0000029e   ---        --------
             469   N   0000029e   00000591   000002a0   x10_a0     0000049c
             470   N   000002a0   fec59ce3   000002a2   x11_a1     004800bc
             471   N   000002a2   05918613   0000029a   ---        --------
             475   N   0000029a   0000c194   0000029c   x13_a3     c503007f
             477   N   0000029c   00000511   0000029e   ---        --------
             478   N   0000029e   00000591   000002a0   x10_a0     000004a0
             479   N   000002a0   fec59ce3   000002a2   x11_a1     004800c0
             480   N   000002a2   05918613   0000029a   ---        --------
             484   N   0000029a   0000c194   0000029c   x13_a3     07850007
             486   N   0000029c   00000511   0000029e   ---        --------
             487   N   0000029e   00000591   000002a0   x10_a0     000004a4
             488   N   000002a0   fec59ce3   000002a2   x11_a1     004800c4
             489   N   000002a2   05918613   0000029a   ---        --------
             493   N   0000029a   0000c194   0000029c   x13_a3     40fe08b3
             495   N   0000029c   00000511   0000029e   ---        --------
             496   N   0000029e   00000591   000002a0   x10_a0     000004a8
             497   N   000002a0   fec59ce3   000002a2   x11_a1     004800c8
             498   N   000002a2   05918613   0000029a   ---        --------
             502   N   0000029a   0000c194   0000029c   x13_a3     00af8023
             504   N   0000029c   00000511   0000029e   ---        --------
             505   N   0000029e   00000591   000002a0   x10_a0     000004ac
             506   N   000002a0   fec59ce3   000002a2   x11_a1     004800cc
             507   N   000002a2   05918613   0000029a   ---        --------
             511   N   0000029a   0000c194   0000029c   x13_a3     00b88eb3
             513   N   0000029c   00000511   0000029e   ---        --------
             514   N   0000029e   00000591   000002a0   x10_a0     000004b0
             515   N   000002a0   fec59ce3   000002a2   x11_a1     004800d0
             516   N   000002a2   05918613   0000029a   ---        --------
             520   N   0000029a   0000c194   0000029c   x13_a3     05d05963
             522   N   0000029c   00000511   0000029e   ---        --------
             523   N   0000029e   00000591   000002a0   x10_a0     000004b4
             524   N   000002a0   fec59ce3   000002a2   x11_a1     004800d4
             525   N   000002a2   05918613   0000029a   ---        --------
             529   N   0000029a   0000c194   0000029c   x13_a3     0007cf03
             531   N   0000029c   00000511   0000029e   ---        --------
             532   N   0000029e   00000591   000002a0   x10_a0     000004b8
             533   N   000002a0   fec59ce3   000002a2   x11_a1     004800d8
             534   N   000002a2   05918613   0000029a   ---        --------
             538   N   0000029a   0000c194   0000029c   x13_a3     053307a1
             540   N   0000029c   00000511   0000029e   ---        --------
             541   N   0000029e   00000591   000002a0   x10_a0     000004bc
             542   N   000002a0   fec59ce3   000002a2   x11_a1     004800dc
             543   N   000002a2   05918613   0000029a   ---        --------
             547   N   0000029a   0000c194   0000029c   x13_a3     802340fe
             549   N   0000029c   00000511   0000029e   ---        --------
             550   N   0000029e   00000591   000002a0   x10_a0     000004c0
             551   N   000002a0   fec59ce3   000002a2   x11_a1     004800e0
             552   N   000002a2   05918613   0000029a   ---        --------
             556   N   0000029a   0000c194   0000029c   x13_a3     c68301ef
             558   N   0000029c   00000511   0000029e   ---        --------
             559   N   0000029e   00000591   000002a0   x10_a0     000004c4
             560   N   000002a0   fec59ce3   000002a2   x11_a1     004800e4
             561   N   000002a2   05918613   0000029a   ---        --------
             565   N   0000029a   0000c194   0000029c   x13_a3     08b3ff97
             567   N   0000029c   00000511   0000029e   ---        --------
             568   N   0000029e   00000591   000002a0   x10_a0     000004c8
             569   N   000002a0   fec59ce3   000002a2   x11_a1     004800e8
             570   N   000002a2   05918613   0000029a   ---        --------
             574   N   0000029a   0000c194   0000029c   x13_a3     802300b5
             576   N   0000029c   00000511   0000029e   ---        --------
             577   N   0000029e   00000591   000002a0   x10_a0     000004cc
             578   N   000002a0   fec59ce3   000002a2   x11_a1     004800ec
             579   N   000002a2   05918613   0000029a   ---        --------
             583   N   0000029a   0000c194   0000029c   x13_a3     c60300df
             585   N   0000029c   00000511   0000029e   ---        --------
             586   N   0000029e   00000591   000002a0   x10_a0     000004d0
             587   N   000002a0   fec59ce3   000002a2   x11_a1     004800f0
             588   N   000002a2   05918613   0000029a   ---        --------
             592   N   0000029a   0000c194   0000029c   x13_a3     8023ffa7
             594   N   0000029c   00000511   0000029e   ---        --------
             595   N   0000029e   00000591   000002a0   x10_a0     000004d4
             596   N   000002a0   fec59ce3   000002a2   x11_a1     004800f4
             597   N   000002a2   05918613   0000029a   ---        --------
             601   N   0000029a   0000c194   0000029c   x13_a3     c70300cf
             603   N   0000029c   00000511   0000029e   ---        --------
             604   N   0000029e   00000591   000002a0   x10_a0     000004d8
